ivol x_MIN3P z_MIN3P RSD
 741 1.673469 0.571429 0.000000
 742 1.714286 0.571429 0.000000
 743 1.755102 0.571429 0.000000
 744 1.795918 0.571429 0.000000
 745 1.836735 0.571429 0.000000
 746 1.877551 0.571429 0.000000
 747 1.918367 0.571429 0.000000
 748 1.959184 0.571429 0.000000
 749 2.000000 0.571429 0.000000
 750 0.000000 0.612245 0.000000
 751 0.040816 0.612245 0.000000
 752 0.081633 0.612245 0.000000
 753 0.122449 0.612245 0.000000
 754 0.163265 0.612245 0.000000
 755 0.204082 0.612245 0.000000
 756 0.244898 0.612245 0.000000
 757 0.285714 0.612245 0.000000
 758 0.326531 0.612245 0.000000
 759 0.367347 0.612245 0.000000
 760 0.408163 0.612245 0.000000
 761 0.448980 0.612245 0.000000
 762 0.489796 0.612245 0.000000
 763 0.530612 0.612245 0.000000
 764 0.571429 0.612245 0.000000
 765 0.612245 0.612245 0.002912
 766 0.653061 0.612245 0.295043
 767 0.693878 0.612245 0.085543
 768 0.734694 0.612245 0.000000
 769 0.775510 0.612245 0.000000
